split,model,accuracy,f1_macro
random,word_char_lr,0.823915900131406,0.8226218307311235
random,word_char_ridge,0.8212877792378449,0.8198916872015481
random,word_svc,0.8199737187910644,0.8191292068068776
random,word_char_svc,0.8186596583442839,0.8174869655891553
random,word_char_sgd,0.8186596583442839,0.8174082677274876
random,vote_linear,0.8173455978975033,0.8159613059250302
random,char_svc,0.7989487516425755,0.7972331210457297
topic_balanced,word_char_svc,0.8278580814717477,0.8269208399524293
topic_balanced,word_char_lr,0.8252299605781866,0.8241367387115326
topic_balanced,word_svc,0.823915900131406,0.823452216066482
topic_balanced,word_char_ridge,0.8226018396846255,0.8216359801036486
topic_balanced,word_char_sgd,0.8226018396846255,0.8216359801036486
topic_balanced,vote_linear,0.8226018396846255,0.8214921783914053
topic_balanced,char_svc,0.7910643889618922,0.7900842619145514
